ID	DEDUP_SUFFIX	DATAYEAR_MERGED	LOAN_AMOUNT	CERPANA_VYSE_2022	CERPANA_VYSE_2023	CERPANA_VYSE_2024	rate_2022	rate_2023	rate_2024	FIXED_OR_VARIABLE	FIXED_NOSTRING_OR_VARIABLE_STRING	ucel_2022	ucel_2023	ucel_2024
00238252-45244782-20051230-20241220-7500000	1e97a56a-5cf99de7	2022 + 2023 + 2024	7500000	7500000.00 	7500000.00 	7500000.00 	2,46%	2,46%	2,46%	FIXED	FIXED_NOSTRING	výstavba bytového domu L	výstavba bytového domu L	výstavba bytového domu L
00238252-45244782-20051230-20241220-7500000	1e97a56a-a05ba67d	2022 + 2023 + 2024	7500000	7500000.00 	7500000.00 	7500000.00 	2,46%	2,46%	2,46%	FIXED	FIXED_NOSTRING	výstavba bytového domu I	výstavba bytového domu I	výstavba bytového domu I
00238252-45244782-20051230-20241220-7500000	1e97a56a-ba2bbdf9	2022 + 2023 + 2024	7500000	7500000.00 	7500000.00 	7500000.00 	2,46%	2,46%	2,46%	FIXED	FIXED_NOSTRING	výstavba bytového domu J	výstavba bytového domu J	výstavba bytového domu J
00238252-45244782-20051230-20241220-7500000	1e97a56a-bb49efd4	2022 + 2023 + 2024	7500000	7500000.00 	7500000.00 	7500000.00 	2,46%	2,46%	2,46%	FIXED	FIXED_NOSTRING	výstavba bytového domu K	výstavba bytového domu K	výstavba bytového domu K
00244791-65050541-20220630-20311031-5000000	13612b38-72664f4c	2022 + 2023	5000000	5000000.00 	5000000.00 		0	0		FIXED	FIXED_NOSTRING	rekonstrukce vodovodu v ul.J.Koláře, Dolní Bukovsko	rekonstrukce vodovodu v ul.J.Koláře, Dolní Bukovsko	
00244791-65050541-20220630-20311031-5000000	13612b38-b91d08fe	2022 + 2023	5000000	5000000.00 	5000000.00 		0	0		FIXED	FIXED_NOSTRING	rekonstrukce kanalizace v ul.J.Koláře, Dolní Bukovsko	rekonstrukce kanalizace v ul.J.Koláře, Dolní Bukovsko	
00246492-44848943-20151118-20251010-2000000	bb28b807-296c762f	2022 + 2023 + 2024	2000000	2000000.00 	2000000.00 	2000000.00 	bezúročná	bezúročná	bezúročná	FIXED	VARIABLE_STRING	Nákup manipulátoru pro kompostárnu v Dešné	Nákup manipulátoru pro kompostárnu v Dešné	Nákup manipulátoru pro kompostárnu v Dešné
00246492-44848943-20151118-20251010-2000000	bb28b807-f815ad5d	2022 + 2023 + 2024	2000000	2000000.00 	2000000.00 	2000000.00 	bezúročná	bezúročná	bezúročná	FIXED	VARIABLE_STRING	Revitalizace zeleně obce Dešná, a to místních částí Hluboká, Chvalkovice, Dančovice, Rancířov	Revitalizace zeleně obce Dešná, a to místních částí Hluboká, Chvalkovice, Dančovice, Rancířov	Revitalizace zeleně obce Dešná, a to místních částí Hluboká, Chvalkovice, Dančovice, Rancířov
00253081-65050541-20240702-20340630-5000000	13612b38-22f6ea32	2024	5000000			5000000.00 			0	FIXED	FIXED_NOSTRING			výstavba, rekonstrukce nebo oprava kanalizace
00253081-65050541-20240702-20340630-5000000	13612b38-f8fc14ce	2024	5000000			5000000.00 			0	FIXED	FIXED_NOSTRING			výstavba, rekonstrukce nebo oprava vodovodu
00261181-45317054-20191216-20371231-10000000	0baff4e5-ecb1ae1b	2023 + 2024	10000000		10000000.00 	10000000.00 		2,28	2,28	FIXED	FIXED_NOSTRING		Centrum volnočasových aktivit, opravy chodníků, oprava střechy ZŠ	Centrum volnočasových aktivit, opravy chodníků, oprava střechy ZŠ
00261181-45317054-20191216-20371231-10000000	0baff4e5-ecb1ae1b	2023 + 2024	10000000		10000000.00 	10000000.00 		5,38	2,28	VARIABLE	FIXED_NOSTRING		Centrum volnočasových aktivit, opravy chodníků, oprava střechy ZŠ	Centrum volnočasových aktivit, opravy chodníků, oprava střechy ZŠ
00261181-45317054-20191216-20371231-10000000	0baff4e5-ecb1ae1b	2023 + 2024	10000000		10000000.00 	10000000.00 		2,28	5,38	VARIABLE	FIXED_NOSTRING		Centrum volnočasových aktivit, opravy chodníků, oprava střechy ZŠ	Centrum volnočasových aktivit, opravy chodníků, oprava střechy ZŠ
00261181-45317054-20191216-20371231-10000000	0baff4e5-ecb1ae1b	2023 + 2024	10000000		10000000.00 	10000000.00 		5,38	5,38	FIXED	FIXED_NOSTRING		Centrum volnočasových aktivit, opravy chodníků, oprava střechy ZŠ	Centrum volnočasových aktivit, opravy chodníků, oprava střechy ZŠ
00261238-000000US-19950918-20250101-4847400	052b7f2a-ad1f4b17	2024	4847400			4847400.00 			0	FIXED	FIXED_NOSTRING			Teplárna Děčín - Bynov
00261238-000000US-19950918-20250101-4847400	72a93304-ad1f4b17	2024	4847400			4847400.00 			0	FIXED	FIXED_NOSTRING			Teplárna Děčín - Bynov
00261238-000000US-19950918-20250101-4847400	df62774b-ad1f4b17	2024	4847400			4847400.00 			0	FIXED	FIXED_NOSTRING			Teplárna Děčín - Bynov
00261238-000000US-19950918-20250918-4475200	052b7f2a-ad1f4b17	2023	4475200		4475200.00 			0		FIXED	FIXED_NOSTRING		Teplárna Děčín - Bynov	
00261238-000000US-19950918-20250918-4475200	72a93304-ad1f4b17	2023	4475200		4475200.00 			0		FIXED	FIXED_NOSTRING		Teplárna Děčín - Bynov	
00261238-000000US-19950918-20250918-4475200	df62774b-ad1f4b17	2023	4475200		4475200.00 			0		FIXED	FIXED_NOSTRING		Teplárna Děčín - Bynov	
00261238-000000US-19950918-20250918-4523200	052b7f2a-ad1f4b17	2022	4523200	4523200.00 			0			FIXED	FIXED_NOSTRING	Teplárna Děčín - Bynov		
00261238-000000US-19950918-20250918-4523200	72a93304-ad1f4b17	2022	4523200	4523200.00 			0			FIXED	FIXED_NOSTRING	Teplárna Děčín - Bynov		
00261238-000000US-19950918-20250918-4523200	df62774b-ad1f4b17	2022	4523200	4523200.00 			0			FIXED	FIXED_NOSTRING	Teplárna Děčín - Bynov		
00261734-70856788-20150611-20350515-2420000	fa015912-43023578	2022 + 2023 + 2024	2420000	2420000.00 	2420000.00 	2420000.00 	1,75	1,75	1,75	FIXED	FIXED_NOSTRING	Opravy a modernizace bytového domuč.p.80	Opravy a modernizace bytového domuč.p.80	Opravy a modernizace bytového domuč.p.80
00261734-70856788-20150611-20350515-2420000	fa015912-5941bcc4	2022 + 2023 + 2024	2420000	2420000.00 	2420000.00 	2420000.00 	1,75	1,75	1,75	FIXED	FIXED_NOSTRING	Opravy a modernizace bytového domu č.p. 82	Opravy a modernizace bytového domu č.p. 82	Opravy a modernizace bytového domu č.p. 82
00281883-45317054-20210920-20340630-7750000	0baff4e5-bbf2afa3	2022 + 2023	7750000	7750000.00 	7750000.00 		2,25	2,25		FIXED	FIXED_NOSTRING	koupě nemovitosti	koupě nemovitosti	
00281883-45317054-20210920-20340630-7750000	0baff4e5-bbf2afa3	2022 + 2023	7750000	7750000.00 	7750000.00 		2,25	2,69		VARIABLE	FIXED_NOSTRING	koupě nemovitosti	koupě nemovitosti	
00281883-45317054-20210920-20340630-7750000	0baff4e5-bbf2afa3	2022 + 2023	7750000	7750000.00 	7750000.00 		2,69	2,25		VARIABLE	FIXED_NOSTRING	koupě nemovitosti	koupě nemovitosti	
00281883-45317054-20210920-20340630-7750000	0baff4e5-bbf2afa3	2022 + 2023	7750000	7750000.00 	7750000.00 		2,69	2,69		FIXED	FIXED_NOSTRING	koupě nemovitosti	koupě nemovitosti	
00281883-45317054-20210920-20340630-7750000		2024	7750000			7750000.00 			2,69	FIXED	FIXED_NOSTRING			koupě nemovitosti
00292788-00000111-20050628-20250420-290000	8db6c645-996b1f35	2022 + 2023 + 2024	290000	290000.00 	290000.00 	290000.00 	0	0	0	FIXED	FIXED_NOSTRING	rozvoj obce	rozvoj obce	rozvoj obce
00292788-00000111-20050628-20250420-290000	9fd18fe8-996b1f35	2022 + 2023 + 2024	290000	290000.00 	290000.00 	290000.00 	0	0	0	FIXED	FIXED_NOSTRING	rozvoj obce	rozvoj obce	rozvoj obce
00292788-00000111-20050628-20250420-290000	e3fd1550-996b1f35	2022 + 2023 + 2024	290000	290000.00 	290000.00 	290000.00 	0	0	0	FIXED	FIXED_NOSTRING	rozvoj obce	rozvoj obce	rozvoj obce
