ID	DEDUP_SUFFIX	DATAYEAR_MERGED	LOAN_AMOUNT	CERPANA_VYSE_2022	CERPANA_VYSE_2023	CERPANA_VYSE_2024	rate_2022	rate_2023	rate_2024	FIXED_OR_VARIABLE	FIXED_NOSTRING_OR_VARIABLE_STRING	ucel_2022	ucel_2023	ucel_2024
00035513-45244782-20150922-20240430-1400000		2022	1400000	1400000.00 			1,45			FIXED	FIXED_NOSTRING	va drobných sakrálních staveb		
00035513-45244782-20210222-20290531-2000000		2022 + 2023 + 2024	2000000	2000000.00 	2000000.00 	2000000.00 	0,67	0,67	0,67	FIXED	FIXED_NOSTRING	rekonstrukce a přístavba hasičské zbronice	financování projektu	financování projektu
00035513-45244782-20240702-20351130-4000000		2024	4000000			2836746.74 			0,54	FIXED	FIXED_NOSTRING			financování projektu
00038113-45244782-20110505-20220930-25000000		2022	25000000	25000000.00 			1.98			FIXED	FIXED_NOSTRING	splašková kanalizace		
00038130-00020729-20121109-20240331-6053578		2022 + 2023	6053578	5451289.91 	5451289.91 		1,00	1,00		FIXED	FIXED_NOSTRING	"Spolufinancování projektu ""Sloupnice a ČOV I. etapa"""	"Spolufinancování projektu ""Sloupnice a ČOV I. etapa"""	
00038130-00020729-20231128-20341231-5926965		2023 + 2024	5926965		2747724.57 	5926965.41 		1,00	1,00	FIXED	FIXED_NOSTRING		"Spolufinancování projektu ""KANALIZACE SLOUPNICE - III. ETAPA"""	"Spolufinancování projektu ""KANALIZACE SLOUPNICE - III. ETAPA"""
00038130-45317054-20160527-20240430-15000000		2022 + 2023 + 2024	15000000	15000000.00 	15000000.00 	15000000.00 	1,39	1,39	1,39	FIXED	FIXED_NOSTRING	"Spolufinancování projektu ""Kanalizace a ČOV Sloupnice II. etapa"""	"Spolufinancování projektu ""Kanalizace a ČOV Sloupnice II. etapa"""	"Spolufinancování projektu ""Kanalizace a ČOV Sloupnice II. etapa"""
00042188-45317054-20160309-20270530-20000000		2022	20000000	20000000.00 			0,27			FIXED	FIXED_NOSTRING	dofinancování stavby Brumovice -kanalizace a čov		
00042188-45317054-20160309-20271130-20000000		2023 + 2024	20000000		20000000.00 	20000000.00 		3MPRIBOR 0,27	3MPRIB OR 0,27	VARIABLE	VARIABLE_STRING		dofinancování stavby Brumovice -kanalizace a čov	dofinancování stavby Brumovice -kanalizace a čov
00064581-0000004C-20011220-20340315-2242392000		2022 + 2023 + 2024	2242392000	2242392000.00 	2242392000.00 	2242392000.00 	5,518	7,243	5,645	VARIABLE	FIXED_NOSTRING	regenerace městské infrastruktury a opravy po povodni v roce 2002 - úvěr č. 21.423 - 70 mil. EUR	regenerace městské infrastruktury a opravy po povodni v roce 2002 - úvěr č. 21.423 - 70 mil. EUR	regenerace městské infrastruktury a opravy po povodni v roce 2002 - úvěr č. 21.423 - 70 mil. EUR
00064581-0000004C-20020626-20250915-2246808000		2022 + 2023 + 2024	2246808000	2246808000.00 	2246808000.00 	2246808000.00 	5,578	7,303	5,705	VARIABLE	FIXED_NOSTRING	výstavba trasy metra IV.C1 (Nádraží Holešovice - Ládví) - úvěr č. 21.614 - 75 mil. EUR	výstavba trasy metra IV.C1 (Nádraží Holešovice - Ládví) - úvěr č. 21.614 - 75 mil. EUR	výstavba trasy metra IV.C1 (Nádraží Holešovice - Ládví) - úvěr č. 21.614 - 75 mil. EUR
00064581-0000004C-20030306-20330315-2539680000		2022 + 2023 + 2024	2539680000	2539680000.00 	2539680000.00 	2539680000.00 	5,518	7,243	5,645	VARIABLE	FIXED_NOSTRING	obnova sítě pražského metra po povodni v srpnu 2002 - úvěr č. 21.960 - 80 mil. EUR	obnova sítě pražského metra po povodni v srpnu 2002 - úvěr č. 21.960 - 80 mil. EUR	obnova sítě pražského metra po povodni v srpnu 2002 - úvěr č. 21.960 - 80 mil. EUR
