VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
080	000100	2021012	1000000215	00231525	45244782	Česká spořitelna, a.s.	Ú	Rekonstrukce městské kotelny	CZK	20170510	20220422	bez ručení	15000000.00 	15000000.00 	13824000.00 	477310.70 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000225	00232904	45244782	Česká spořitelna, a.s.	Ú	Financování koupě nemovitosti	CZK	20210416	20401220	0	40000000.00 	40000000.00 	0.00 	65933.17 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000225	00232904	45244782	Česká spořitelna, a.s.	Ú	Odkanalizování místních částí	CZK	20080627	20280520	0	30000000.00 	30000000.00 	18900000.00 	9156841.00 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000225	00232904	45244782	Česká spořitelna, a.s.	Ú	Přístavba ZŠ, Stavba tělocvičny při ZŠ, Zateplení Městského úřadu	CZK	20170704	20250520	0	31000000.00 	31000000.00 	16855000.00 	1036294.60 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000226	00232947	00001350	Československá obchodní banka, a. s.	Ú	investice do vodohospodářské infrastruktury	CZK	20120430	20270621	bez zajištění	42870623.30 	42870623.30 	29896635.00 	4715134.64 	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000227	00232963	45244782	Česká spořitelna, a.s.	Ú	Komunikace	CZK	20180109	20271220	vlastní příjmy	40000000.00 	40000000.00 	12210000.00 	1617500.00 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000227	00232963	00020729	Státní fond životního prostředí České republiky	Z	ČOV	CZK	20210429	20311231	vlastní příjmy	12678796.46 	7179659.61 	0.00 	0.00 	Státní fond životního prostředí České republiky	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
080	000100	2021012	1000000234	70567450	45244782	Česká spořitelna, a.s.	Ú	Rozhledna na Javornické hůře	CZK	20210812	20220930	bez ručení	3000000.00 	3000000.00 	0.00 	22741.66 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000236	70567646	45244782	Česká spořitelna, a.s.	Ú	kontokorentní úvěr	CZK	20210902	20220831	žádné ručení	800000.00 	0.00 	0.00 	580.00 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000239	00231541	45244782	Česká spořitelna, a.s.	Ú	Zapojení do vybudování skupinového vodovodu CHOPOS	CZK	20191031	20381220	žádný	9500000.00 	8972000.00 	528000.00 	117208.05 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000242	00231771	45317054	Komerční banka, a.s.	Ú	na stavbu čov	CZK	20080826	20221230	krycí blankosměnky	6232000.00 	6232000.00 	592000.00 	964276.16 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000244	00231819	45244782	Česká spořitelna, a.s.	Ú	Intezifikace ČOV	CZK	20200520	20261220	0	1000000.00 	1000000.00 	168000.00 	14324.00 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000245	00231860	45317054	Komerční banka, a.s.	Ú	Spolufinancování rekonstrukce vodovodu Samechov	CZK	20160603	20260831	nesjednáno	2000000.00 	2000000.00 	1066688.00 	0.00 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000245	00231860	00020729	Státní fond životního prostředí České republiky	NFV	ČOV	CZK	20120517	20231231	zástava pozemků	3473683.44 	3473683.44 	2823424.00 	0.00 	Státní fond životního prostředí České republiky	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
080	000100	2021012	1000000246	00231886	45244782	Česká spořitelna, a.s.	Ú	financování projektu přístavba  ZŠ	CZK	20170210	20250320	žádné	6000000.00 	6000000.00 	3312000.00 	275026.80 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000246	00231886	45244782	Česká spořitelna, a.s.	Ú	financování projektu výstavba vodovodu	CZK	20191111	20381220	žádné	15000000.00 	15000000.00 	834000.00 	268139.64 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000255	00232131	64948242	UniCredit Bank Czech Republic and Slovakia, a.s.	Ú	vodovod/kanalizace	CZK	20200723	20371231	není sjednáno	15000000.00 	4281108.44 	0.00 	78567.83 	UniCredit Bank Czech Republic and Slovakia, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000257	00232173	45317054	Komerční banka, a.s.	Ú	Louňovice pod Blaníkem-kanalizace a ČOV	CZK	20131216	20361120	Vlastní příjmy	15000000.00 	15000000.00 	5232000.00 	985329.00 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000258	00232181	45244782	Česká spořitelna, a.s.	Ú	Městys Maršovice-splašková kanalizace a ČOV	CZK	20170510	20311220	Bez ručení	16000000.00 	16000000.00 	6470133.82 	346423.30 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000259	00232220	45317054	Komerční banka, a.s.	Ú	Refinancování úvěru u Fio bynky a.s. sjednaného dle Smlouvy o úvěru č. 141000048	CZK	20200608	20340731	Zástava nemovitostí	12209372.00 	12209372.00 	1169736.19 	353402.15 	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2021012	1000000259	00232220	65006658	IMPULS-Leasing-AUSTRIA s.r.o.	Ú	Úhrada dodavatelské kupní ceny předmětu financování	CZK	20170822	20221010	Zajišťovací převod vlastického práva a smlouva o výpůjčce	1682750.00 	1682750.00 	1387499.93 	10650.07 	IMPULS-Leasing-AUSTRIA s.r.o.	112	Společnost s ručením omezeným	Společnost s ručením omezeným	s.r.o.
