VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
080	000100	2023012	1000000215	00231525	45244782	Česká spořitelna, a.s.	Ú	Vodovod Bystřice	CZK	4,48	20230317	20321220	01	30000000.00 	30000000.00 	0.00 	304655.74 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2023012	1000000215	00231525	70856788	Státní fond podpory investic	Ú	Komunitní centrum Bystřice	CZK	bezúročně	20230327	20330131	03	22609000.00 	13198231.19 	0.00 	0.00 	Státní fond podpory investic	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
080	000100	2023012	1000000225	00232904	45244782	Česká spořitelna, a.s.	Ú	Financování koupě nemovitosti	CZK	7,4	20210416	20401220	10	40000000.00 	40000000.00 	4200000.00 	4429931.07 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2023012	1000000225	00232904	45244782	Česká spořitelna, a.s.	Ú	Intenzifikace ČOV Týnec nad Sázavou	CZK	4,78	20230621	20421220	10	95000000.00 	12217136.76 	0.00 	260318.20 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2023012	1000000225	00232904	45244782	Česká spořitelna, a.s.	Ú	Odkanalizování místních částí	CZK	8,31	20080627	20280520	10	30000000.00 	30000000.00 	30000000.00 	10123064.90 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2023012	1000000225	00232904	45244782	Česká spořitelna, a.s.	Ú	Přístavba ZŠ, Stavba tělocvičny při ZŠ, Zateplení Městského úřadu v Týnci nad Sázavou	CZK	7,37	20170704	20250520	10	31000000.00 	31000000.00 	31000000.00 	1956060.90 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2023012	1000000227	00232963	45244782	Česká spořitelna, a.s.	Ú	místní komunikace	CZK	1,65	20180109	20270109	01	40000000.00 	40000000.00 	22707500.00 	2944357.85 	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
080	000100	2023012	1000000227	00232963	00020729	Státní fond životního prostředí České republiky	Z	ČOV	CZK	0,45	20210124	20320331	01	12678796.00 	12650708.95 	1265070.88 	27396.70 	Státní fond životního prostředí České republiky	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
080	000100	2023012	1000000232	69000948	00231541	Obec Čakov	NFV	výpomoc	CZK	0	20230910	20240910	01	50000.00 	50000.00 	0.00 	0.00 	Obec Čakov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
080	000100	2023012	1000000232	69000948	00231690	Městys Divišov	NFV	výpomoc	CZK	0	20231025	20241101	01	250000.00 	250000.00 	0.00 	0.00 	Městys Divišov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
080	000100	2023012	1000000232	69000948	00231886	Obec Chotýšany	NFV	výpomoc	CZK	0	20230619	20240620	01	250000.00 	250000.00 	0.00 	0.00 	Obec Chotýšany	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
080	000100	2023012	1000000232	69000948	00232271	Obec Mrač	NFV	výpomoc	CZK	0	20230914	20240914	01	150000.00 	150000.00 	0.00 	0.00 	Obec Mrač	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
080	000100	2023012	1000000232	69000948	00232424	Obec Ostředek	NFV	výpomoc	CZK	0	20231010	20241101	01	100000.00 	100000.00 	0.00 	0.00 	Obec Ostředek	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
080	000100	2023012	1000000232	69000948	00232521	Obec Postupice	NFV	výpomoc	CZK	0	20230830	20240901	01	200000.00 	200000.00 	0.00 	0.00 	Obec Postupice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
080	000100	2023012	1000000232	69000948	00232700	Obec Soběhrdy	NFV	výpomoc	CZK	0	20231003	20241004	01	100000.00 	100000.00 	0.00 	0.00 	Obec Soběhrdy	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
080	000100	2023012	1000000232	69000948	00232751	Obec Struhařov	NFV	výpomoc	CZK	0	20230629	20240701	01	200000.00 	200000.00 	0.00 	0.00 	Obec Struhařov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
080	000100	2023012	1000000232	69000948	00232823	Obec Teplýšovice	NFV	výpomoc	CZK	0	20230904	20240910	01	100000.00 	100000.00 	0.00 	0.00 	Obec Teplýšovice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
080	000100	2023012	1000000232	69000948	00232980	Obec Vranov	NFV	výpomoc	CZK	0	20230628	20240630	01	200000.00 	200000.00 	0.00 	0.00 	Obec Vranov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
080	000100	2023012	1000000232	69000948	00473367	Obec Litichovice	NFV	výpomoc	CZK	0	20231003	20241004	01	50000.00 	50000.00 	0.00 	0.00 	Obec Litichovice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
080	000100	2023012	1000000232	69000948	00473383	Obec Všechlapy	NFV	výpomoc	CZK	0	20231205	20241212	01	100000.00 	100000.00 	0.00 	0.00 	Obec Všechlapy	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
080	000100	2023012	1000000232	69000948	00508446	Obec Drahňovice	NFV	výpomoc	CZK	0	20231030	20241031	01	50000.00 	50000.00 	0.00 	0.00 	Obec Drahňovice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
