Hledane_ICO	ARES_Status
45224782	Not Found
45244785	Not Found
45137054	Not Found
00263977	Not Found
00000111	Not Found
45044782	Not Found
45317055	Not Found
49060724	Not Found
16325460	Not Found
45244762	Not Found
45244778	Not Found
45647054	Not Found
45317051	Not Found
45317057	Not Found
45244752	Not Found
45317170	Not Found
45244792	Not Found
45211782	Not Found
43317054	Not Found
00311812	Not Found
04544782	Not Found
00000000	Invalid ICO
04524478	Not Found
04531754	Not Found
04524782	Not Found
13584321	Not Found
