VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
80	100	2021012	1000000215	231525	45244782	Česká spořitelna, a.s.	Ú	Rekonstrukce městské kotelny	CZK	20170510	20220422	bez ručení	15000000	15000000	13824000	477310.7	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000225	232904	45244782	Česká spořitelna, a.s.	Ú	Financování koupě nemovitosti	CZK	20210416	20401220	0	40000000	40000000	0	65933.17	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000225	232904	45244782	Česká spořitelna, a.s.	Ú	Odkanalizování místních částí	CZK	20080627	20280520	0	30000000	30000000	18900000	9156841	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000225	232904	45244782	Česká spořitelna, a.s.	Ú	Přístavba ZŠ, Stavba tělocvičny při ZŠ, Zateplení Městského úřadu	CZK	20170704	20250520	0	31000000	31000000	16855000	1036294.6	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000226	232947	1350	Československá obchodní banka, a. s.	Ú	investice do vodohospodářské infrastruktury	CZK	20120430	20270621	bez zajištění	42870623.3	42870623.3	29896635	4715134.64	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000227	232963	45244782	Česká spořitelna, a.s.	Ú	Komunikace	CZK	20180109	20271220	vlastní příjmy	40000000	40000000	12210000	1617500	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000227	232963	20729	Státní fond životního prostředí České republiky	Z	ČOV	CZK	20210429	20311231	vlastní příjmy	12678796.46	7179659.61	0	0	Státní fond životního prostředí České republiky	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
80	100	2021012	1000000234	70567450	45244782	Česká spořitelna, a.s.	Ú	Rozhledna na Javornické hůře	CZK	20210812	20220930	bez ručení	3000000	3000000	0	22741.66	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000236	70567646	45244782	Česká spořitelna, a.s.	Ú	kontokorentní úvěr	CZK	20210902	20220831	žádné ručení	800000	0	0	580	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000239	231541	45244782	Česká spořitelna, a.s.	Ú	Zapojení do vybudování skupinového vodovodu CHOPOS	CZK	20191031	20381220	žádný	9500000	8972000	528000	117208.05	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000242	231771	45317054	Komerční banka, a.s.	Ú	na stavbu čov	CZK	20080826	20221230	krycí blankosměnky	6232000	6232000	592000	964276.16	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000244	231819	45244782	Česká spořitelna, a.s.	Ú	Intezifikace ČOV	CZK	20200520	20261220	0	1000000	1000000	168000	14324	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000245	231860	45317054	Komerční banka, a.s.	Ú	Spolufinancování rekonstrukce vodovodu Samechov	CZK	20160603	20260831	nesjednáno	2000000	2000000	1066688	0	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000245	231860	20729	Státní fond životního prostředí České republiky	NFV	ČOV	CZK	20120517	20231231	zástava pozemků	3473683.44	3473683.44	2823424	0	Státní fond životního prostředí České republiky	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
80	100	2021012	1000000246	231886	45244782	Česká spořitelna, a.s.	Ú	financování projektu přístavba  ZŠ	CZK	20170210	20250320	žádné	6000000	6000000	3312000	275026.8	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000246	231886	45244782	Česká spořitelna, a.s.	Ú	financování projektu výstavba vodovodu	CZK	20191111	20381220	žádné	15000000	15000000	834000	268139.64	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000255	232131	64948242	UniCredit Bank Czech Republic and Slovakia, a.s.	Ú	vodovod/kanalizace	CZK	20200723	20371231	není sjednáno	15000000	4281108.44	0	78567.83	UniCredit Bank Czech Republic and Slovakia, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000257	232173	45317054	Komerční banka, a.s.	Ú	Louňovice pod Blaníkem-kanalizace a ČOV	CZK	20131216	20361120	Vlastní příjmy	15000000	15000000	5232000	985329	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000258	232181	45244782	Česká spořitelna, a.s.	Ú	Městys Maršovice-splašková kanalizace a ČOV	CZK	20170510	20311220	Bez ručení	16000000	16000000	6470133.82	346423.3	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000259	232220	45317054	Komerční banka, a.s.	Ú	Refinancování úvěru u Fio bynky a.s. sjednaného dle Smlouvy o úvěru č. 141000048	CZK	20200608	20340731	Zástava nemovitostí	12209372	12209372	1169736.19	353402.15	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000259	232220	65006658	IMPULS-Leasing-AUSTRIA s.r.o.	Ú	Úhrada dodavatelské kupní ceny předmětu financování	CZK	20170822	20221010	Zajišťovací převod vlastického práva a smlouva o výpůjčce	1682750	1682750	1387499.93	10650.07	IMPULS-Leasing-AUSTRIA s.r.o.	112	Společnost s ručením omezeným	Společnost s ručením omezeným	s.r.o.
80	100	2021012	1000000266	232360	45244782	Česká spořitelna, a.s.	Ú	Výstavba ČOV a kanalizace Netvořice	CZK	20170518	20320920	bez ručení	40000000	36650465.45	10848000	1959522.6	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000268	232416	25672720	MONETA Money Bank, a.s.	Ú	Financování investice do technického zhodnocení zázemí SK Olbramovice	CZK	20200506	20241220	zástavní právo k nemovitostem, blankosměnka	5000000	4000000	1400000	83923.29	MONETA Money Bank, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000269	232424	45244782	Česká spořitelna, a.s.	Ú	Skupinový vodovod Chopos	CZK	20191104	20381220	bez ručení	17000000	17000000	948000	159327.48	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000270	232475	232475	Obec Petroupim	Ú	Revitalizace rybníka	CZK	20200312	20401231	nesjednané	6872000	6613221.62	3543608	48111.91	Obec Petroupim	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2021012	1000000271	232513	45244782	Česká spořitelna, a.s.	Ú	Rekonstrukce a přístavba tělocvičny ZŠ Poříčí nad Sázavou	CZK	20070130	20240820	bez ručení	30000000	20459204.9	17259204.9	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000271	232513	45244782	Česká spořitelna, a.s.	Ú	Úhrada kupní ceny nemovitosti	CZK	20170927	20230520	bez ručení	6500000	5600000	4800000	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000271	232513	45317054	Komerční banka, a.s.	Ú	Financování projektu "Stavební úprava a změny užívání objektu čp. 4 v Poříčí n. S. na bytový  dům s	CZK	20210125	20401231	ACT/360	40000000	9143915.12	0	0	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000275	232599	45317054	Komerční banka, a.s.	Ú	Dostavba splaškové kanalizace Nedvězí	CZK	20200629	20291231	Bez ručení	3359000	3359000	555107.24	0	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000278	232700	45244782	Česká spořitelna, a.s.	Ú	Financování projektu	CZK	20181004	20240620	není	3000000	1687280	1500000	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000279	232751	45244782	Česká spořitelna, a.s.	Ú	Financování podílu  na realizaci "Skupinový vodovod Chopos"	CZK	20191111	20331220	Peněžitěé dluhy na základě ttéto smlouvy nejsou  zajištěny žádnými zajišťovacími prostředky	23000000	23000000	1770000	300862.44	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000280	232777	45244782	Česká spořitelna, a.s.	Ú	nákup nemovitosti	CZK	20181218	20221220	žádný	1500000	1500000	1105500	259064	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000283	232823	45244782	Česká spořitelna, a.s.	Ú	skupinový vodovod Chopos - fin.podíl obce na realizaci projektu	CZK	20191105	20381220	bez ručení	30000000	28332000	3197000	405809.36	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000285	232921	45244782	Česká spořitelna, a.s.	Ú	koupě pozemků	CZK	20160906	20240620	pozemky	5000000	3704610	3306000	56454.8	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000288	232980	45244782	Česká spořitelna, a.s.	Ú	Skupinový vodovod CHOPOS	CZK	20191105	20381220	0	30000000	30000000	1668000	342840.31	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000289	233072	45244782	Česká spořitelna, a.s.	Ú	Nákup CAS,Vodovod,posílení vod.zdrojů a  rozš.akumulace	CZK	20180109	20251120	bez ručení	9500000	8751394	4800000	371028.5	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000297	473421	45244782	Česká spořitelna, a.s.	Ú	rekonstrukce úřadu	CZK	20160715	20350825	není	1000000	1000000	570000	17990.3	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000303	473481	45244782	Česká spořitelna, a.s.	Ú	Nákup pozemků	CZK	20211123	20351220	Bez ručení	7174150	0	0	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000303	473481	45244782	Česká spořitelna, a.s.	Ú	Rekonstrukce úřadu	CZK	20171123	20211120	Bez ručení	1852025	1852025	1852025	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000309	473545	45317054	Komerční banka, a.s.	Ú	Refinancování stávajícího úvěru č.351732621587 a dofinancování porjektu vodní zdroj , vodojem, ČOV,	CZK	20200330	20400430	bez ručení	11382000	11382000	995925	511953.81	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000315	508381	45244782	Česká spořitelna, a.s.	Ú	financování projektu - výstavba kanalizace a ČOV	CZK	20130429	20230220	žádné	8800000	8800000	7568000	599050.75	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000321	508471	45244782	Česká spořitelna, a.s.	Ú	pořízení dlouhodobého majetku	CZK	20121015	20240820	bez ručení	7000000	7000000	5700000	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000328	875775	45244782	Česká spořitelna, a.s.	Ú	financování koupě nemovitosti	CZK	20190114	20331220	bez ručení	1100000	1100000	204600	80055.03	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000405	875813	1350	Československá obchodní banka, a. s.	Ú	Dětské hřiště Soutice	CZK	20210224	20261228	blankosměnka	743109	687173.86	0	7394.3	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000405	875813	1350	Československá obchodní banka, a. s.	Ú	Stav.úpravy obj. čp.16 Soutice	CZK	20191014	20340825	blankosměnka	3442000	3407217.66	231000	80454.82	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000405	875813	1350	Československá obchodní banka, a. s.	Ú	financování Protipov.opatř.pro obec Soutice	CZK	20191014	20250925	blankosměnka	1429000	1429000	1227119	13240.09	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000405	875813	1350	Československá obchodní banka, a. s.	Ú	oprava kamen. křížku U Veteránů, Soutice	CZK	20191014	20260126	blankosměnka	380500	380439	271555	9910.95	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000405	875813	1350	Československá obchodní banka, a. s.	Ú	oprava prodejny čp.16 Soutice	CZK	20210224	20360225	blankosměnka	2115675	2115675	0	25517.45	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000405	875813	1350	Československá obchodní banka, a. s.	Ú	zastavení na UC Soutice	CZK	20210224	20261228	blankosměnka	517124	517124	0	3597.32	Československá obchodní banka, a. s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000425	232386	13584324	Hypoteční banka, a.s.	Ú	oprava bytového domu	CZK	20010521	20211115	zástavní právo k nemovitosti ve prospěch banky	7500000	6706549	6706549	4364634.71	ČSOB Hypoteční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000428	240664	45244782	Česká spořitelna, a.s.	Ú	intentzifikace ČOV	CZK	20211203	20410920	není	15000000	0	0	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000428	240664	45244782	Česká spořitelna, a.s.	Ú	konsolidace dluhů 2012	CZK	20121220	20320920	zástava nemovitosti	19950000	19948590	9112590	2481901	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000428	240664	45244782	Česká spořitelna, a.s.	Ú	kontokorent	CZK	20191218	20220430	není	3000000	0	0	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000428	240664	45244782	Česká spořitelna, a.s.	Ú	přístavba ZŠ	CZK	20161107	20310920	není	16400000	16400000	4800000	1066772	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000428	240664	45244782	Česká spořitelna, a.s.	Ú	rekonstrukce MŠ	CZK	20201208	20271220	není	47000000	47000000	30113641	149465	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000428	240664	45244782	Česká spořitelna, a.s.	Ú	rekonstrukce komunikací	CZK	20150630	20261020	zástava nemovitosti	9500000	8954460	4954460	575434	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000434	231550	49241494	Podpůrný a garanční rolnický a lesnický fond, a.s.	Ú	Podnikatelský záměr ve formě pořízení investice  Nový vyvážecí vlek PALMS, nová hydraul.ruka PALMS	CZK	20210603	20230113	Zástavním právem k pohled.z poj.plnění, Zajišťovacím převodem vlast. práva	609700	304850	0	0	Podpůrný a garanční rolnický a lesnický fond, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000435	232874	45244782	Česká spořitelna, a.s.	Ú	Dostavba vodovodu a kanalizace Trhový Štěpánov	CZK	20120229	20211220	Bez ručení	6000000	6000000	6000000	0	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000435	232874	45244782	Česká spořitelna, a.s.	Ú	Klubové zázemí FK Trhový Štěpánov	CZK	20180606	20231220	Bez ručení	7000000	7000000	4212000	253248.8	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000435	232874	45244782	Česká spořitelna, a.s.	Ú	Nástavba společenského domu Dubějovice	CZK	20200304	20291220	Bez ručení	6000000	6000000	672000	127172.92	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000435	232874	45244782	Česká spořitelna, a.s.	Ú	Rozšíření kapacity Mateřské školy Trhový Štěpánov	CZK	20191127	20241220	Bez ručení	6800000	5738066.86	5284364.4	115788.99	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000435	232874	45244782	Česká spořitelna, a.s.	Ú	Zlepšení zázemí pro vzdělávání Základní školy Trhový Štěpánov	CZK	20190220	20230620	Bez ručení	22000000	21712346.11	20280000	271874.8	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000437	49828029	45244782	Česká spořitelna, a.s.	Ú	výstavba III:etapy skládky komunálního odpadu v k.ú. Trhový Štěpánov	CZK	20160427	20220930	zástavní práva k pohledávkám z smlouvy  pachtovní uzavřené dne 18.12.2015 se společností EKOSO s.r.o	12000000	11110077	10003181.04	155255.77	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000444	508501	45244782	Česká spořitelna, a.s.	Ú	Výstavba kanalizace	CZK	20171009	20271020	Bez zajištění	12000000	4767406.58	1827000	159814	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000445	231401	45317054	Komerční banka, a.s.	Ú	výstavba terminálu a parkovacího domu	CZK	20180207	20321231	bez ručení	250000000	42510051.08	25423740	234877.29	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000449	233242	45244782	Česká spořitelna, a.s.	Ú	Ú Financování dluhu a Projektu	CZK	20180202	20260920	Bez ručení	46000000	46000000	19102235.15	2375260.4	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000450	233269	45244782	Česká spořitelna, a.s.	Ú	II.etapa vodovod a kanalizace	CZK	20160830	20370630	bez ručení	21000000	21000000	4418899.27	737739	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000450	233269	45244782	Česká spořitelna, a.s.	Ú	klimatizace	CZK	20071227	20221020	bez ručení	6700000	6700000	6333600	233038.6	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000450	233269	45244782	Česká spořitelna, a.s.	Ú	nová ČOV, I.etapa vodovod a kanalizace	CZK	20150514	20351231	bez ručení	15000000	15000000	4180355.71	920121.29	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2021012	1000000450	233269	45244782	Česká spořitelna, a.s.	Ú	revitalizace náměstí	CZK	20150401	20351231	bez ručení	17000000	17000000	5631103.91	965538.91	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
