VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
80	100	2023012	1000000215	231525	45244782	Česká spořitelna, a.s.	Ú	Vodovod Bystřice	CZK	4,48	20230317	20321220	1	30000000	30000000	0	304655.74	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000000215	231525	70856788	Státní fond podpory investic	Ú	Komunitní centrum Bystřice	CZK	bezúročně	20230327	20330131	3	22609000	13198231.19	0	0	Státní fond podpory investic	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
80	100	2023012	1000000225	232904	45244782	Česká spořitelna, a.s.	Ú	Financování koupě nemovitosti	CZK	7,4	20210416	20401220	10	40000000	40000000	4200000	4429931.07	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000000225	232904	45244782	Česká spořitelna, a.s.	Ú	Intenzifikace ČOV Týnec nad Sázavou	CZK	4,78	20230621	20421220	10	95000000	12217136.76	0	260318.2	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000000225	232904	45244782	Česká spořitelna, a.s.	Ú	Odkanalizování místních částí	CZK	8,31	20080627	20280520	10	30000000	30000000	30000000	10123064.9	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000000225	232904	45244782	Česká spořitelna, a.s.	Ú	Přístavba ZŠ, Stavba tělocvičny při ZŠ, Zateplení Městského úřadu v Týnci nad Sázavou	CZK	7,37	20170704	20250520	10	31000000	31000000	31000000	1956060.9	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000000227	232963	45244782	Česká spořitelna, a.s.	Ú	místní komunikace	CZK	1,65	20180109	20270109	1	40000000	40000000	22707500	2944357.85	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000000227	232963	20729	Státní fond životního prostředí České republiky	Z	ČOV	CZK	0,45	20210124	20320331	1	12678796	12650708.95	1265070.88	27396.7	Státní fond životního prostředí České republiky	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
80	100	2023012	1000000232	69000948	231541	Obec Čakov	NFV	výpomoc	CZK	0	20230910	20240910	1	50000	50000	0	0	Obec Čakov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000232	69000948	231690	Městys Divišov	NFV	výpomoc	CZK	0	20231025	20241101	1	250000	250000	0	0	Městys Divišov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000232	69000948	231886	Obec Chotýšany	NFV	výpomoc	CZK	0	20230619	20240620	1	250000	250000	0	0	Obec Chotýšany	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000232	69000948	232271	Obec Mrač	NFV	výpomoc	CZK	0	20230914	20240914	1	150000	150000	0	0	Obec Mrač	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000232	69000948	232424	Obec Ostředek	NFV	výpomoc	CZK	0	20231010	20241101	1	100000	100000	0	0	Obec Ostředek	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000232	69000948	232521	Obec Postupice	NFV	výpomoc	CZK	0	20230830	20240901	1	200000	200000	0	0	Obec Postupice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000232	69000948	232700	Obec Soběhrdy	NFV	výpomoc	CZK	0	20231003	20241004	1	100000	100000	0	0	Obec Soběhrdy	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000232	69000948	232751	Obec Struhařov	NFV	výpomoc	CZK	0	20230629	20240701	1	200000	200000	0	0	Obec Struhařov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000232	69000948	232823	Obec Teplýšovice	NFV	výpomoc	CZK	0	20230904	20240910	1	100000	100000	0	0	Obec Teplýšovice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000232	69000948	232980	Obec Vranov	NFV	výpomoc	CZK	0	20230628	20240630	1	200000	200000	0	0	Obec Vranov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000232	69000948	473367	Obec Litichovice	NFV	výpomoc	CZK	0	20231003	20241004	1	50000	50000	0	0	Obec Litichovice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000232	69000948	473383	Obec Všechlapy	NFV	výpomoc	CZK	0	20231205	20241212	1	100000	100000	0	0	Obec Všechlapy	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000232	69000948	508446	Obec Drahňovice	NFV	výpomoc	CZK	0	20231030	20241031	1	50000	50000	0	0	Obec Drahňovice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000234	70567450	45244782	Česká spořitelna, a.s.	Ú	Rozhledna na Javornické hůře	CZK	rf.sazb. v pl.roz.den + marže 0,63	20210812	20230131	1	3000000	3000000	3000000	245975.83	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2023012	1000000234	70567450	232611	Obec Rataje	NFV	refinnancování úvěru	CZK	0	20230127	20230327	1	500000	500000	500000	0	Obec Rataje	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000234	70567450	233072	Městys Zdislavice	NFV	refinancování úvěru	CZK	0	20230126	20230327	1	500000	500000	500000	0	Městys Zdislavice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2023012	1000000234	70567450	473529	Obec Chlum	NFV	refinancování úvěru	CZK	0	20230127	20230327	1	500000	500000	500000	0	Obec Chlum	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
