VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka
80	100	2024012	1000000215	231525	45244782	Česká spořitelna, a.s.	Ú	Vodovod Bystřice	CZK	4,48	20230317	20321220	1	30000000	30000000	3336000	1291977.03	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000000215	231525	70856788	Státní fond podpory investic	Ú	Komunitní centrum Bystřice	CZK	bezúročně	20230327	20330131	3	22609000	22609000	1722600	0	Státní fond podpory investic	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
80	100	2024012	1000000225	232904	45244782	Česká spořitelna, a.s.	Ú	Financování koupě nemovitostí	CZK	7,4	20210416	20401220	1	40000000	40000000	6300000	6389828.63	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000000225	232904	45244782	Česká spořitelna, a.s.	Ú	Intenzifikace ČOV	CZK	4,78	20230621	20421220	3	95000000	85302497.43	5004000	2423723.54	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000000227	232963	45244782	Česká spořitelna, a.s.	Ú	místní komunikace	CZK	1,65	20180109	20270109	1	40000000	40000000	27147500	3709525.25	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.
80	100	2024012	1000000227	232963	20729	Státní fond životního prostředí České republiky	Z	ČOV	CZK	0,45	20210124	20320331	1	12678796	12650708.95	2213874.04	77920.46	Státní fond životního prostředí České republiky	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná
80	100	2024012	1000000232	69000948	231541	Obec Čakov	NFV	výpomoc	CZK	0	20241126	20251125	1	100000	100000	0	0	Obec Čakov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000000232	69000948	231886	Obec Chotýšany	NFV	výpomoc	CZK	0	20240722	20250722	1	200000	200000	0	0	Obec Chotýšany	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000000232	69000948	232521	Obec Postupice	NFV	výpomoc	CZK	0	20240924	20250924	1	150000	150000	0	0	Obec Postupice	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000000232	69000948	232700	Obec Soběhrdy	NFV	výpomoc	CZK	0	20241112	20251113	1	50000	50000	0	0	Obec Soběhrdy	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
80	100	2024012	1000000232	69000948	232980	Obec Vranov	NFV	výpomoc	CZK	0	20240924	20250924	1	150000	150000	0	0	Obec Vranov	801	Obec nebo městská část hlavního města Prahy	Městská část, městský obvod	obec
