VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ID	DEDUP_SUFFIX	COMPOSITE_ID
080	000100	2022012	1000000215	00231525	45244782	Česká spořitelna, a.s.	Ú	Rekonstrukce městské kotelny	CZK	0,4	20170510	20220422	bez ručení	15000000.00 	15000000.00 	15000000.00 	484372.40 	00231525-45244782-20170510-20220422-15000000		00231525-45244782-20170510-20220422-15000000
080	000100	2022012	1000000225	00232904	45244782	Česká spořitelna, a.s.	Ú	Financování koupě nemovitosti	CZK	5,96	20210416	20401220	0	40000000.00 	40000000.00 	2100000.00 	1820666.45 	00232904-45244782-20210416-20401220-40000000		00232904-45244782-20210416-20401220-40000000
080	000100	2022012	1000000225	00232904	45244782	Česká spořitelna, a.s.	Ú	Intenzifikace ČOV Týnec nad Sázavou	CZK	6,96	20220622	20411120	Pozemek s budovou, Zástavní právo k pohledávkám z pojištění Nemovitosti	130000000.00 	0.00 	0.00 	69959.31 	00232904-45244782-20220622-20411120-130000000		00232904-45244782-20220622-20411120-130000000
080	000100	2022012	1000000225	00232904	45244782	Česká spořitelna, a.s.	Ú	Odkanalizování místních částí	CZK	8,31	20080627	20280520	0	30000000.00 	30000000.00 	20628000.00 	9895223.30 	00232904-45244782-20080627-20280520-30000000		00232904-45244782-20080627-20280520-30000000
080	000100	2022012	1000000225	00232904	45244782	Česká spořitelna, a.s.	Ú	Přístavba ZŠ, Stavba tělocvičny při ZŠ, Zateplení Městského úřadu v Týnci nad Sázavou	CZK	7,37	20170704	20250520	0	31000000.00 	31000000.00 	20995000.00 	1745066.10 	00232904-45244782-20170704-20250520-31000000		00232904-45244782-20170704-20250520-31000000
080	000100	2022012	1000000226	00232947	00001350	Československá obchodní banka, a. s.	Ú	investice do vodohospodářské infrastruktury	CZK	6,23	20120430	20270621	bez zajištění	42870623.30 	42870623.30 	42870623.30 	4881802.13 	00232947-00001350-20120430-20270621-42870623		00232947-00001350-20120430-20270621-42870623
080	000100	2022012	1000000227	00232963	45244782	Česká spořitelna, a.s.	Ú	místní komunikace	CZK	1,65	20180109	20270109	není	40000000.00 	40000000.00 	18267500.00 	1959503.00 	00232963-45244782-20180109-20270109-40000000		00232963-45244782-20180109-20270109-40000000
080	000100	2022012	1000000227	00232963	00020729	Státní fond životního prostředí České republiky	Z	ČOV	CZK	0,45	20210124	20320331	není	12678796.00 	12650708.95 	0.00 	0.00 	00232963-00020729-20210124-20320331-12678796		00232963-00020729-20210124-20320331-12678796
080	000100	2022012	1000000234	70567450	45244782	Česká spořitelna, a.s.	Ú	Rozhledna na Javornické hůře	CZK	ref.saz.pl.v roz.den+maržeo 0,63	20210812	20230131	bez ručení	3000000.00 	3000000.00 	0.00 	226616.66 	70567450-45244782-20210812-20230131-3000000		70567450-45244782-20210812-20230131-3000000
080	000100	2022012	1000000236	70567646	45244782	Česká spořitelna, a.s.	Ú	Kontokorentní úvěr	CZK	7,8	20210902	20230831	žádné jištění	800000.00 	0.00 	0.00 	4832.96 	70567646-45244782-20210902-20230831-800000		70567646-45244782-20210902-20230831-800000
080	000100	2022012	1000000239	00231541	45244782	Česká spořitelna, a.s.	Ú	Zapojení do vybudování skupinového vodovodu CHOPOS	CZK	1,84	20191031	20381220	žádný	9500000.00 	9500000.00 	1056000.00 	279740.61 	00231541-45244782-20191031-20381220-9500000		00231541-45244782-20191031-20381220-9500000
080	000100	2022012	1000000242	00231771	45317054	Komerční banka, a.s.	Ú	na stavbu čov	CZK	pohyblivá	20080826	20221230	krycí blankosměnky	6232000.00 	6232000.00 	6232000.00 	986322.50 	00231771-45317054-20080826-20221230-6232000		00231771-45317054-20080826-20221230-6232000
080	000100	2022012	1000000244	00231819	45244782	Česká spořitelna, a.s.	Ú	Intezifikace ČOV	CZK	1,54	20200520	20261220	0	1000000.00 	1000000.00 	336000.00 	11700.76 	00231819-45244782-20200520-20261220-1000000		00231819-45244782-20200520-20261220-1000000
080	000100	2022012	1000000245	00231860	00020729	Státní fond životního prostředí České republiky	NFV	ČOV	CZK	0	20120517	20231231	zástava pozemů	3473683.44 	3473683.44 	3176352.00 	0.00 	00231860-00020729-20120517-20231231-3473683		00231860-00020729-20120517-20231231-3473683
080	000100	2022012	1000000246	00231886	45244782	Česká spořitelna, a.s.	Ú	financování projektu přístavby školy	CZK	0,52	20170210	20250320	žádné	6000000.00 	6000000.00 	4140000.00 	401532.90 	00231886-45244782-20170210-20250320-6000000		00231886-45244782-20170210-20250320-6000000
080	000100	2022012	1000000246	00231886	45244782	Česká spořitelna, a.s.	Ú	financování projektu výstavba vodovodu	CZK	1,82	20191111	20381220	žádné	15000000.00 	15000000.00 	1668000.00 	521973.39 	00231886-45244782-20191111-20381220-15000000		00231886-45244782-20191111-20381220-15000000
080	000100	2022012	1000000250	00232025	00020729	Státní fond životního prostředí České republiky	Z	posílení vlastních zdrojů - předfinancování výdajů OP ŽP (EU dotace)	CZK	0,45	20220322	20321231	splátkový kalendář - zřízení trvalého příkazu ke splátkám	6473081.50 	4808500.22 	0.00 	0.00 	00232025-00020729-20220322-20321231-6473081		00232025-00020729-20220322-20321231-6473081
080	000100	2022012	1000000255	00232131	64948242	UniCredit Bank Czech Republic and Slovakia, a.s.	Ú	vodovod/kanalizace	CZK	1,99	20200723	20371231	není sjednáno	15000000.00 	15000000.00 	0.00 	332290.04 	00232131-64948242-20200723-20371231-15000000		00232131-64948242-20200723-20371231-15000000
080	000100	2022012	1000000255	00232131	64948242	UniCredit Bank Czech Republic and Slovakia, a.s.	Ú	vodovod/kanalizace	CZK	1M PRIBOR + 1%	20220711	20371231	není sjednáno	5000000.00 	5000000.00 	0.00 	104737.09 	00232131-64948242-20220711-20371231-5000000		00232131-64948242-20220711-20371231-5000000
080	000100	2022012	1000000257	00232173	45317054	Komerční banka, a.s.	Ú	Louňovice pod Blaníkem-kanalizace a ČOV	CZK	0,20 6M PRIBOR	20131216	20361120	Vlastní příjmy	15000000.00 	15000000.00 	5886000.00 	1547792.71 	00232173-45317054-20131216-20361120-15000000		00232173-45317054-20131216-20361120-15000000
080	000100	2022012	1000000258	00232181	45244782	Česká spořitelna, a.s.	Ú	Městys Maršovice-splašková kanalizace a ČOV	CZK	0,84	20170510	20311220	Bez ručení	16000000.00 	16000000.00 	7646133.82 	422659.90 	00232181-45244782-20170510-20311220-16000000		00232181-45244782-20170510-20311220-16000000
080	000100	2022012	1000000259	00232220	45317054	Komerční banka, a.s.	Ú	Refinancování úvěru u Fio bynky a.s. sjednaného dle Smlouvy o úvěru č. 141000048	CZK	1,99	20200608	20340731	Zástava nemovitostí	12209372.00 	12209372.00 	1951006.49 	576980.17 	00232220-45317054-20200608-20340731-12209372		00232220-45317054-20200608-20340731-12209372
080	000100	2022012	1000000259	00232220	65006658	IMPULS-Leasing-AUSTRIA s.r.o.	Ú	Úhrada dodavatelské kupní ceny předmětu financování	CZK	2,5	20170822	20221010	Zajišťovací převod vlastnického práva a smlouva o výpůjčce	1682750.00 	1682750.00 	1682750.00 	62248.07 	00232220-65006658-20170822-20221010-1682750		00232220-65006658-20170822-20221010-1682750
080	000100	2022012	1000000266	00232360	45244782	Česká spořitelna, a.s.	Ú	Výstavba ČOV a kanalizace Netvořice	CZK	2,1	20170518	20320920	bez ručení	40000000.00 	36650465.45 	13560000.00 	2481702.40 	00232360-45244782-20170518-20320920-40000000		00232360-45244782-20170518-20320920-40000000
080	000100	2022012	1000000268	00232416	25672720	MONETA Money Bank, a.s.	Ú	Financování investice do technického zhodnocení zázemí SK Olbramovice	CZK	2 % p.a.	20200506	20241220	zástavní právo k nemovitostem, blankosměnka	5000000.00 	4000000.00 	2600000.00 	121698.63 	00232416-25672720-20200506-20241220-5000000		00232416-25672720-20200506-20241220-5000000
080	000100	2022012	1000000269	00232424	45244782	Česká spořitelna, a.s.	Ú	Skupinový vodovod	CZK	1,85	20191104	20381220	bez ručení	17000000.00 	17000000.00 	1896000.00 	292341.83 	00232424-45244782-20191104-20381220-17000000		00232424-45244782-20191104-20381220-17000000
080	000100	2022012	1000000270	00232475	00232475	Obec Petroupim	Ú	revitalizace rybníka	CZK	0,39	20200312	20401231	není	6872000.00 	6613221.62 	4487216.00 	148277.14 	00232475-00232475-20200312-20401231-6872000		00232475-00232475-20200312-20401231-6872000
080	000100	2022012	1000000271	00232513	45244782	Česká spořitelna, a.s.	Ú	Rekonstrukce a přístavba tělocvičny ZŠ Poříčí nad Sázavou	CZK	PRIBOR 6M+0,17% p.a.	20070130	20240820	bez ručení	30000000.00 	20459204.90 	18459204.90 	0.00 	00232513-45244782-20070130-20240820-30000000		00232513-45244782-20070130-20240820-30000000
