VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRU:ZC_ZPRU	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
080	000100	2021012	1000001008	00665169	45317054	Komerční banka, a.s.	Ú	výstavba kanalizace	CZK	20120328	20320131	zástava nemovitosti	4000000.00 	4000000.00 	1920800.00 	723089.00 	2021	00665169-45317054-20120328-20320131-4000000	0baff4e5-8c118f2a	00665169-45317054-20120328-20320131-4000000-0baff4e5-8c118f2a-2021	DEDUP_POPULATED
080	000100	2021012	1000001008	00665169	45317054	Komerční banka, a.s.	Ú	výstavba vodovodu	CZK	20120328	20320131	zástava nemovitosti	4000000.00 	4000000.00 	1920800.00 	723089.00 	2021	00665169-45317054-20120328-20320131-4000000	0baff4e5-9f1c4a22	00665169-45317054-20120328-20320131-4000000-0baff4e5-9f1c4a22-2021	DEDUP_POPULATED
080	000100	2021012	1000001565	00238252	45244782	Česká spořitelna, a.s.	Ú	výstavba bytového domu I	CZK	20051230	20241220	zástavní právo	7500000.00 	7500000.00 	6300000.00 	1365962.70 	2021	00238252-45244782-20051230-20241220-7500000	1e97a56a-a05ba67d	00238252-45244782-20051230-20241220-7500000-1e97a56a-a05ba67d-2021	DEDUP_POPULATED
080	000100	2021012	1000001565	00238252	45244782	Česká spořitelna, a.s.	Ú	výstavba bytového domu J	CZK	20051230	20241220	zástavní právo	7500000.00 	7500000.00 	6300000.00 	1364716.70 	2021	00238252-45244782-20051230-20241220-7500000	1e97a56a-ba2bbdf9	00238252-45244782-20051230-20241220-7500000-1e97a56a-ba2bbdf9-2021	DEDUP_POPULATED
080	000100	2021012	1000001565	00238252	45244782	Česká spořitelna, a.s.	Ú	výstavba bytového domu K	CZK	20051230	20241220	zástavní právo	7500000.00 	7500000.00 	6300000.00 	1349994.70 	2021	00238252-45244782-20051230-20241220-7500000	1e97a56a-bb49efd4	00238252-45244782-20051230-20241220-7500000-1e97a56a-bb49efd4-2021	DEDUP_POPULATED
080	000100	2021012	1000001565	00238252	45244782	Česká spořitelna, a.s.	Ú	výstavba bytového domu L	CZK	20051230	20241220	zástavní právo	7500000.00 	7500000.00 	6300000.00 	1351930.70 	2021	00238252-45244782-20051230-20241220-7500000	1e97a56a-5cf99de7	00238252-45244782-20051230-20241220-7500000-1e97a56a-5cf99de7-2021	DEDUP_POPULATED
080	000100	2021012	1000003331	00246492	44848943	Českomoravská záruční a rozvojová banka, a.s.	Ú	Dešná-obnova veřejných prostor-revitalizace zeleně obcí	CZK	20151118	20251010	Není sjednáno žádné zajištění úvěru.	2000000.00 	2000000.00 	1600000.00 	0.00 	2021	00246492-44848943-20151118-20251010-2000000	13ba6780-cc128466	00246492-44848943-20151118-20251010-2000000-13ba6780-cc128466-2021	DEDUP_POPULATED
080	000100	2021012	1000003331	00246492	44848943	Českomoravská záruční a rozvojová banka, a.s.	Ú	Nákup manipulátoru pro kompostárnu v Dešné	CZK	20151118	20251010	Není sjednáno žádné zajištění úvěru	2000000.00 	2000000.00 	1200000.00 	0.00 	2021	00246492-44848943-20151118-20251010-2000000	13ba6780-296c762f	00246492-44848943-20151118-20251010-2000000-13ba6780-296c762f-2021	DEDUP_POPULATED
080	000100	2021012	1000006317	00261734	70856788	Státní fond rozvoje bydlení	Ú	Opravy a modernizace bytového domu č.p. 82	CZK	20150611	20350515	zástavní právo k nemovitosti	2420000.00 	2420000.00 	679622.57 	0.00 	2021	00261734-70856788-20150611-20350515-2420000	bac8924b-5941bcc4	00261734-70856788-20150611-20350515-2420000-bac8924b-5941bcc4-2021	DEDUP_POPULATED
080	000100	2021012	1000006317	00261734	70856788	Státní fond rozvoje bydlení	Ú	Opravy a modernizace bytového domuč.p.80	CZK	20150611	20350515	zástavní právo k nemovitosti	2420000.00 	2420000.00 	578672.89 	0.00 	2021	00261734-70856788-20150611-20350515-2420000	bac8924b-43023578	00261734-70856788-20150611-20350515-2420000-bac8924b-43023578-2021	DEDUP_POPULATED
