VýkazZC_VYKAZ:ZC_VYKAZ	Tabulka výkazuZC_VTAB:ZC_VTAB	Fiskální období0FISCPER:0FISCPER	Účetní jednotkaZC_UCJED:ZC_UCJED	IČOZC_ICO:ZC_ICO	IČO poskytovatele/BIC/ZC_PARTP:ZC_PARTP	Název poskytovatele/BIC/ZC_NAZPOS:ZC_NAZPOS	Určení/BIC/ZC_URCN:ZC_URCN	Účel/BIC/ZC_UCFP:ZC_UCFP	Kód měnyCURRENCY:0CURRENCY	Úroková sazba v %/BIC/ZC_URSA:ZC_URSA	Okamžik uzavření smlouvy/BIC/ZC_DATUS:ZC_DATUS	Termín splatnosti/BIC/ZC_TERSPL:ZC_TERSPL	Způsob ručení/BIC/ZC_ZPRUC:ZC_ZPRUC	Sjednaná výše U/Z/NFVKYF_0002:ZU_VYUV	Čerpaná výše U/Z/NVFKYF_0004:ZU_CEUV	Splacená výše jistiny U/Z/NFVKYF_0006:ZU_SPJUV	Výše zaplacených úroků a poplatkůKYF_0008:ZU_ZAPUP	ARES_Nazev_subjektu	ARES_Pravni_Forma_Kod	ARES_Pravni_Forma_Oficialni	ARES_Pravni_Forma_Skupina	ARES_Pravni_Forma_Zkratka	DATAYEAR	ID	DEDUP_SUFFIX	COMPOSITE_ID	reason_of_removal
80	100	2024012	1000001008	665169	45317054	Komerční banka, a.s.	Ú	výstavba kanalizace	CZK	1,32	20120328	20320131	3	4000000	4000000	2538200	21110.21	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00665169-45317054-20120328-20320131-4000000	0baff4e5-8c118f2a	00665169-45317054-20120328-20320131-4000000-0baff4e5-8c118f2a-2024	DEDUP_POPULATED
80	100	2024012	1000001008	665169	45317054	Komerční banka, a.s.	Ú	výstavba vodovodu	CZK	1,32	20120328	20320131	3	4000000	4000000	2538200	21110.2	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00665169-45317054-20120328-20320131-4000000	0baff4e5-9f1c4a22	00665169-45317054-20120328-20320131-4000000-0baff4e5-9f1c4a22-2024	DEDUP_POPULATED
80	100	2024012	1000001565	238252	45244782	Česká spořitelna, a.s.	Ú	výstavba bytového domu I	CZK	2,46%	20051230	20241220	3	7500000	7500000	7500000	1498414.9	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00238252-45244782-20051230-20241220-7500000	1e97a56a-a05ba67d	00238252-45244782-20051230-20241220-7500000-1e97a56a-a05ba67d-2024	DEDUP_POPULATED
80	100	2024012	1000001565	238252	45244782	Česká spořitelna, a.s.	Ú	výstavba bytového domu J	CZK	2,46%	20051230	20241220	3	7500000	7500000	7500000	1497168.9	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00238252-45244782-20051230-20241220-7500000	1e97a56a-ba2bbdf9	00238252-45244782-20051230-20241220-7500000-1e97a56a-ba2bbdf9-2024	DEDUP_POPULATED
80	100	2024012	1000001565	238252	45244782	Česká spořitelna, a.s.	Ú	výstavba bytového domu K	CZK	2,46%	20051230	20241220	3	7500000	7500000	7500000	1482446.9	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00238252-45244782-20051230-20241220-7500000	1e97a56a-bb49efd4	00238252-45244782-20051230-20241220-7500000-1e97a56a-bb49efd4-2024	DEDUP_POPULATED
80	100	2024012	1000001565	238252	45244782	Česká spořitelna, a.s.	Ú	výstavba bytového domu L	CZK	2,46%	20051230	20241220	3	7500000	7500000	7500000	1484382.9	Česká spořitelna, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00238252-45244782-20051230-20241220-7500000	1e97a56a-5cf99de7	00238252-45244782-20051230-20241220-7500000-1e97a56a-5cf99de7-2024	DEDUP_POPULATED
80	100	2024012	1000003331	246492	44848943	Národní rozvojová banka, a.s.	Ú	Nákup manipulátoru pro kompostárnu v Dešné	CZK	bezúročná	20151118	20251010	1	2000000	2000000	1800000	0	Národní rozvojová banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00246492-44848943-20151118-20251010-2000000	bb28b807-296c762f	00246492-44848943-20151118-20251010-2000000-bb28b807-296c762f-2024	DEDUP_POPULATED
80	100	2024012	1000003331	246492	44848943	Národní rozvojová banka, a.s.	Ú	Revitalizace zeleně obce Dešná, a to místních částí Hluboká, Chvalkovice, Dančovice, Rancířov	CZK	bezúročná	20151118	20251010	1	2000000	2000000	1800000	0	Národní rozvojová banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00246492-44848943-20151118-20251010-2000000	bb28b807-f815ad5d	00246492-44848943-20151118-20251010-2000000-bb28b807-f815ad5d-2024	DEDUP_POPULATED
80	100	2024012	1000004269	253081	65050541	Sdružení měst a obcí Bukovská voda	Z	výstavba, rekonstrukce nebo oprava kanalizace	CZK	0	20240702	20340630	1	5000000	5000000	0	0	Sdružení měst a obcí Bukovská voda	771	Dobrovolný svazek obcí	Dobrovolný svazek obcí	s.o.	2024	00253081-65050541-20240702-20340630-5000000	13612b38-22f6ea32	00253081-65050541-20240702-20340630-5000000-13612b38-22f6ea32-2024	DEDUP_POPULATED
80	100	2024012	1000004269	253081	65050541	Sdružení měst a obcí Bukovská voda	Z	výstavba, rekonstrukce nebo oprava vodovodu	CZK	0	20240702	20340630	1	5000000	5000000	0	0	Sdružení měst a obcí Bukovská voda	771	Dobrovolný svazek obcí	Dobrovolný svazek obcí	s.o.	2024	00253081-65050541-20240702-20340630-5000000	13612b38-f8fc14ce	00253081-65050541-20240702-20340630-5000000-13612b38-f8fc14ce-2024	DEDUP_POPULATED
80	100	2024012	1000006312	261181	45317054	Komerční banka, a.s.	Ú	Centrum volnočasových aktivit, opravy chodníků, oprava střechy ZŠ	CZK	2,28	20191216	20371231	1	10000000	10000000	1333336	223728	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00261181-45317054-20191216-20371231-10000000	0baff4e5-ecb1ae1b	00261181-45317054-20191216-20371231-10000000-0baff4e5-ecb1ae1b-2024	DEDUP_POPULATED
80	100	2024012	1000006312	261181	45317054	Komerční banka, a.s.	Ú	Centrum volnočasových aktivit, opravy chodníků, oprava střechy ZŠ	CZK	5,38	20191216	20371231	1	10000000	10000000	1333333.36	511511.66	Komerční banka, a.s.	121	Akciová společnost	Akciová společnost	a.s.	2024	00261181-45317054-20191216-20371231-10000000	0baff4e5-ecb1ae1b	00261181-45317054-20191216-20371231-10000000-0baff4e5-ecb1ae1b-2024	DEDUP_POPULATED
80	100	2024012	1000006317	261734	70856788	Státní fond podpory investic	Ú	Opravy a modernizace bytového domu č.p. 82	CZK	1,75	20150611	20350515	3	2420000	2420000	1044151.09	25822.58	Státní fond podpory investic	381	Fond (ze zákona)	Státní fond ze zákona nezapisující se do obchodního rejstříku	jiná	2024	00261734-70856788-20150611-20350515-2420000	fa015912-5941bcc4	00261734-70856788-20150611-20350515-2420000-fa015912-5941bcc4-2024	DEDUP_POPULATED
