"""""""Výkaz""""""ZC_VYKAZ:ZC_VYKAZ";"""""""Tabulka výkazu""""""ZC_VTAB:ZC_VTAB";"""""""Fiskální období""""""0FISCPER:0FISCPER";"""""""Účetní jednotka""""""ZC_UCJED:ZC_UCJED";"""""""IČO""""""ZC_ICO:ZC_ICO";"""""""IČO poskytovatele""""""/BIC/ZC_PARTP:ZC_PARTP";"""""""Název poskytovatele""""""/BIC/ZC_NAZPOS:ZC_NAZPOS";"""""""Určení""""""/BIC/ZC_URCN:ZC_URCN";"""""""Účel""""""/BIC/ZC_UCFP:ZC_UCFP";"""""""Kód měny""""""CURRENCY:0CURRENCY";"""""""Úroková sazba v %""""""/BIC/ZC_URSA:ZC_URSA";"""""""Okamžik uzavření smlouvy""""""/BIC/ZC_DATUS:ZC_DATUS";"""""""Termín splatnosti""""""/BIC/ZC_TERSPL:ZC_TERSPL";"""""""Způsob ručení""""""/BIC/ZC_ZPRUC:ZC_ZPRUC";"""""""Sjednaná výše U/Z/NFV""""""KYF_0002:ZU_VYUV";"""""""Čerpaná výše U/Z/NVF""""""KYF_0004:ZU_CEUV";"""""""Splacená výše jistiny U/Z/NFV""""""KYF_0006:ZU_SPJUV";"""""""Výše zaplacených úroků a poplatků""""""KYF_0008:ZU_ZAPUP"
080;000100;2024012;1000000215;00231525;45244782;Česká spořitelna, a.s.;Ú;Vodovod Bystřice;CZK;4,48;20230317;20321220;01;30000000.00 ;30000000.00 ;3336000.00 ;1291977.03 
080;000100;2024012;1000000215;00231525;70856788;Státní fond podpory investic;Ú;Komunitní centrum Bystřice;CZK;bezúročně;20230327;20330131;03;22609000.00 ;22609000.00 ;1722600.00 ;0.00 
080;000100;2024012;1000000225;00232904;45244782;Česká spořitelna, a.s.;Ú;Financování koupě nemovitostí;CZK;7,4;20210416;20401220;01;40000000.00 ;40000000.00 ;6300000.00 ;6389828.63 
080;000100;2024012;1000000225;00232904;45244782;Česká spořitelna, a.s.;Ú;Intenzifikace ČOV;CZK;4,78;20230621;20421220;03;95000000.00 ;85302497.43 ;5004000.00 ;2423723.54 
080;000100;2024012;1000000227;00232963;45244782;Česká spořitelna, a.s.;Ú;místní komunikace;CZK;1,65;20180109;20270109;01;40000000.00 ;40000000.00 ;27147500.00 ;3709525.25 
080;000100;2024012;1000000227;00232963;00020729;Státní fond životního prostředí České republiky;Z;ČOV;CZK;0,45;20210124;20320331;01;12678796.00 ;12650708.95 ;2213874.04 ;77920.46 
080;000100;2024012;1000000232;69000948;00231541;Obec Čakov;NFV;výpomoc;CZK;0;20241126;20251125;01;100000.00 ;100000.00 ;0.00 ;0.00 
080;000100;2024012;1000000232;69000948;00231886;Obec Chotýšany;NFV;výpomoc;CZK;0;20240722;20250722;01;200000.00 ;200000.00 ;0.00 ;0.00 
080;000100;2024012;1000000232;69000948;00232521;Obec Postupice;NFV;výpomoc;CZK;0;20240924;20250924;01;150000.00 ;150000.00 ;0.00 ;0.00 
080;000100;2024012;1000000232;69000948;00232700;Obec Soběhrdy;NFV;výpomoc;CZK;0;20241112;20251113;01;50000.00 ;50000.00 ;0.00 ;0.00 
080;000100;2024012;1000000232;69000948;00232980;Obec Vranov;NFV;výpomoc;CZK;0;20240924;20250924;01;150000.00 ;150000.00 ;0.00 ;0.00 
080;000100;2024012;1000000236;70567646;45244782;Česká spořitelna, a.s.;Ú;kontokorentní úvěr;CZK;5,41;20240913;20240831;01;800000.00 ;0.00 ;0.00 ;4833.00 
080;000100;2024012;1000000236;70567646;00231916;Obec Jankov;Z;dotace na odpady;CZK;0;20240820;20250430;01;1470997.00 ;1470997.00 ;0.00 ;0.00 
080;000100;2024012;1000000236;70567646;00232220;Obec Mezno;Z;dotace na odpady;CZK;0;20240826;20250430;01;731711.20 ;731711.20 ;0.00 ;0.00 
080;000100;2024012;1000000236;70567646;00232963;Město Votice;Z;dotace na odpady;CZK;0;20240307;20250430;01;5203726.00 ;5203726.00 ;0.00 ;0.00 
080;000100;2024012;1000000236;70567646;00232963;Město Votice;Z;dotace na odpady;CZK;0;20240814;20250430;01;4827355.50 ;4827355.50 ;0.00 ;0.00 
080;000100;2024012;1000000236;70567646;00233005;Městys Vrchotovy Janovice;Z;dotace na odpady;CZK;0;20240815;20250430;01;844338.00 ;844338.00 ;0.00 ;0.00 
080;000100;2024012;1000000239;00231541;45244782;Česká spořitelna, a.s.;Ú;Zapojení do vybudování skupinového vodovodu CHOPOS;CZK;1,84;20191031;20381220;10;9500000.00 ;9500000.00 ;2112000.00 ;37618.88 
080;000100;2024012;1000000242;00231771;45224782;;Ú;intenzifikace čov;CZK;5,79;20230215;20301220;01;6000000.00 ;4791538.32 ;858000.00 ;257260.80 
080;000100;2024012;1000000244;00231819;45244782;Česká spořitelna, a.s.;Ú;Intezifikace ČOV;CZK;1,54;20200520;20261220;01;1000000.00 ;1000000.00 ;672000.00 ;27252.87 
080;000100;2024012;1000000245;00231860;45317054;Komerční banka, a.s.;Ú;koupě nemovitosti;CZK;3,9%;20241114;20291030;01;10000000.00 ;10000000.00 ;0.00 ;36834.00 
080;000100;2024012;1000000245;00231860;70891095;Středočeský kraj;NFV;ZŠ a MŠ Chocerady - Snížení energetické náročnosti gastro provozu;CZK;0;20240603;20250527;01;4000000.00 ;4000000.00 ;0.00 ;0.00 
080;000100;2024012;1000000246;00231886;45244782;Česká spořitelna, a.s.;Ú;financování projektu;CZK;0,52;20170210;20250320;01;6000000.00 ;6000000.00 ;5796000.00 ;547255.60 
080;000100;2024012;1000000246;00231886;45244782;Česká spořitelna, a.s.;Ú;financování projektu;CZK;1,82;20191111;20381220;01;15000000.00 ;15000000.00 ;3336000.00 ;984096.84 
080;000100;2024012;1000000250;00232025;00020729;Státní fond životního prostředí České republiky;Z;Pořízení centrální vzduchotechniky do ZŠ;CZK;0,45;20220322;20321231;01;401619.30 ;401619.30 ;80323.92 ;2846.48 
080;000100;2024012;1000000250;00232025;00020729;Státní fond životního prostředí České republiky;Z;Zateplení, výměna zdroje tepla v ZŠ;CZK;0,45;20220322;20321231;01;6473081.50 ;6473081.50 ;1294616.32 ;45877.97 
080;000100;2024012;1000000255;00232131;64948242;UniCredit Bank Czech Republic and Slovakia, a.s.;Ú;vodovod/kanalizace;CZK;1,99;20200723;20371231;10;15000000.00 ;15000000.00 ;1500000.00 ;910084.46 
080;000100;2024012;1000000255;00232131;64948242;UniCredit Bank Czech Republic and Slovakia, a.s.;Ú;vodovod/kanalizace;CZK;1M PRIBOR + 1%;20220711;20371231;10;5000000.00 ;5000000.00 ;499200.00 ;803555.10 
080;000100;2024012;1000000257;00232173;45317054;Komerční banka, a.s.;Ú;Louňovice pod Blaníkem-kanalizace a ČOV;CZK;0,20 6M PRIBOR;20131216;20361120;02;15000000.00 ;15000000.00 ;7194000.00 ;472929.87 
080;000100;2024012;1000000258;00232181;45244782;Česká spořitelna, a.s.;Ú;Městys Maršovice-splašková kanalizace a ČOV;CZK;0,84;20170510;20311220;01;16000000.00 ;16000000.00 ;9998133.82 ;545249.20 
080;000100;2024012;1000000259;00232220;45317054;Komerční banka, a.s.;Ú;Refinancování úvěru u Fio bynky a.s. sjednaného dle Smlouvy o úvěru č. 141000048;CZK;1,99;20200608;20340731;03;12209372.00 ;12209372.00 ;3561072.30 ;940450.36 
080;000100;2024012;1000000266;00232360;45244782;Česká spořitelna, a.s.;Ú;výstavba ČOV a kanalizace Netvořice;CZK;2,1;20170518;20320920;01;40000000.00 ;36650465.45 ;18984000.00 ;3353995.40 
080;000100;2024012;1000000268;00232416;45317054;Komerční banka, a.s.;Ú;Koupě nemovitosti;CZK;4,19 % p.a.;20240425;20290430;01;4200000.00 ;4200000.00 ;560000.00 ;111315.50 
080;000100;2024012;1000000268;00232416;25672720;MONETA Money Bank, a.s.;Ú;Financování investice do technického zhodnocení zázemí SK Olbramovice;CZK;2 % p.a.;20200506;20241220;03;5000000.00 ;4000000.00 ;4000000.00 ;728.77 
080;000100;2024012;1000000269;00232424;45244782;Česká spořitelna, a.s.;Ú;Skupinový vodovod;CZK;1,85;20191104;20381220;01;17000000.00 ;17000000.00 ;3792000.00 ;257498.01 
