"kodjaz","typvaz","akrcis1","kodcis1","chodnota1","text1","akrcis2","kodcis2","chodnota2","text2"
"CS","Hierarchie číselníků","FORMA",56,"101","Fyzická osoba podnikající dle živnostenského zákona","ROSFORMA",149,"100","Podnikající fyzická osoba tuzemská"
"CS","Hierarchie číselníků","FORMA",56,"105","Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství","ROSFORMA",149,"100","Podnikající fyzická osoba tuzemská"
"CS","Hierarchie číselníků","FORMA",56,"107","Zemědělský podnikatel - fyzická osoba","ROSFORMA",149,"100","Podnikající fyzická osoba tuzemská"
"CS","Hierarchie číselníků","FORMA",56,"111","Veřejná obchodní společnost","ROSFORMA",149,"111","Veřejná obchodní společnost"
"CS","Hierarchie číselníků","FORMA",56,"112","Společnost s ručením omezeným","ROSFORMA",149,"112","Společnost s ručením omezeným"
"CS","Hierarchie číselníků","FORMA",56,"113","Společnost komanditní","ROSFORMA",149,"113","Společnost komanditní"
"CS","Hierarchie číselníků","FORMA",56,"115","Společný podnik","ROSFORMA",149,"115","Společný podnik"
"CS","Hierarchie číselníků","FORMA",56,"116","Zájmové sdružení","ROSFORMA",149,"116","Zájmové sdružení"
"CS","Hierarchie číselníků","FORMA",56,"117","Nadace","ROSFORMA",149,"117","Nadace"
"CS","Hierarchie číselníků","FORMA",56,"118","Nadační fond","ROSFORMA",149,"118","Nadační fond"
"CS","Hierarchie číselníků","FORMA",56,"121","Akciová společnost","ROSFORMA",149,"121","Akciová společnost"
"CS","Hierarchie číselníků","FORMA",56,"141","Obecně prospěšná společnost","ROSFORMA",149,"141","Obecně prospěšná společnost"
"CS","Hierarchie číselníků","FORMA",56,"145","Společenství vlastníků jednotek","ROSFORMA",149,"145","Společenství vlastníků jednotek"
"CS","Hierarchie číselníků","FORMA",56,"151","Komoditní burza","ROSFORMA",149,"151","Komoditní burza"
"CS","Hierarchie číselníků","FORMA",56,"161","Ústav","ROSFORMA",149,"161","Ústav"
"CS","Hierarchie číselníků","FORMA",56,"205","Družstvo","ROSFORMA",149,"205","Družstvo"
"CS","Hierarchie číselníků","FORMA",56,"301","Státní podnik","ROSFORMA",149,"301","Státní podnik"
"CS","Hierarchie číselníků","FORMA",56,"301","Státní podnik","ROSFORMA",149,"302","Národní podnik"
"CS","Hierarchie číselníků","FORMA",56,"313","Česká národní banka","ROSFORMA",149,"313","Česká národní banka"
"CS","Hierarchie číselníků","FORMA",56,"325","Organizační složka státu","ROSFORMA",149,"325","Organizační složka státu"
"CS","Hierarchie číselníků","FORMA",56,"326","Stálý rozhodčí soud","ROSFORMA",149,"326","Stálý rozhodčí soud"
"CS","Hierarchie číselníků","FORMA",56,"331","Příspěvková organizace zřízená územním samosprávným celkem","ROSFORMA",149,"331","Příspěvková organizace zřízená územním samosprávným celkem"
"CS","Hierarchie číselníků","FORMA",56,"332","Státní příspěvková organizace","ROSFORMA",149,"332","Státní příspěvková organizace"
"CS","Hierarchie číselníků","FORMA",56,"334","Veřejná kulturní instituce","ROSFORMA",149,"334","Veřejná kulturní instituce"
"CS","Hierarchie číselníků","FORMA",56,"352","Státní organizace Správa železnic","ROSFORMA",149,"352","Státní organizace Správa železnic"
"CS","Hierarchie číselníků","FORMA",56,"353","Rada pro veřejný dohled nad auditem","ROSFORMA",149,"353","Rada pro veřejný dohled nad auditem"
"CS","Hierarchie číselníků","FORMA",56,"361","Veřejnoprávní instituce (ČT,ČRo,ČTK)","ROSFORMA",149,"361","Veřejnoprávní instituce"
"CS","Hierarchie číselníků","FORMA",56,"361","Veřejnoprávní instituce (ČT,ČRo,ČTK)","ROSFORMA",149,"362","Česká tisková kancelář"
"CS","Hierarchie číselníků","FORMA",56,"381","Fond (ze zákona)","ROSFORMA",149,"152","Garanční fond obchodníků s cennými papíry"
"CS","Hierarchie číselníků","FORMA",56,"381","Fond (ze zákona)","ROSFORMA",149,"381","Státní fond ze zákona"
"CS","Hierarchie číselníků","FORMA",56,"381","Fond (ze zákona)","ROSFORMA",149,"382","Státní fond ze zákona nezapisující se do obchodního rejstříku"
"CS","Hierarchie číselníků","FORMA",56,"391","Zdravotní pojišťovna","ROSFORMA",149,"391","Zdravotní pojišťovna (mimo VZP)"
"CS","Hierarchie číselníků","FORMA",56,"391","Zdravotní pojišťovna","ROSFORMA",149,"392","Všeobecná zdravotní pojišťovna"
"CS","Hierarchie číselníků","FORMA",56,"421","Odštěpný závod zahraniční právnické osoby","ROSFORMA",149,"421","Odštěpný závod zahraniční právnické osoby"
"CS","Hierarchie číselníků","FORMA",56,"422","Organizační složka zahraničního nadačního fondu","ROSFORMA",149,"422","Organizační složka zahraničního nadačního fondu"
"CS","Hierarchie číselníků","FORMA",56,"423","Organizační složka zahraniční nadace","ROSFORMA",149,"423","Organizační složka zahraniční nadace"
"CS","Hierarchie číselníků","FORMA",56,"424","Zahraniční fyzická osoba","ROSFORMA",149,"424","Zahraniční fyzická osoba"
"CS","Hierarchie číselníků","FORMA",56,"425","Odštěpný závod zahraniční fyzické osoby","ROSFORMA",149,"425","Odštěpný závod zahraniční fyzické osoby"
"CS","Hierarchie číselníků","FORMA",56,"426","Zastoupení zahraniční banky","ROSFORMA",149,"426","Zastoupení zahraniční banky"
"CS","Hierarchie číselníků","FORMA",56,"501","Odštěpný závod nebo jiná organizační složka podniku zapisující se do obchodního rejstříku","ROSFORMA",149,"501","Odštěpný závod"
"CS","Hierarchie číselníků","FORMA",56,"521","Samostatná drobná provozovna obecního úřadu","ROSFORMA",149,"521","Samostatná drobná provozovna (obecního úřadu)"
"CS","Hierarchie číselníků","FORMA",56,"601","Vysoká škola (veřejná, státní)","ROSFORMA",149,"601","Vysoká škola (veřejná, státní)"
"CS","Hierarchie číselníků","FORMA",56,"641","Školská právnická osoba","ROSFORMA",149,"641","Školská právnická osoba"
"CS","Hierarchie číselníků","FORMA",56,"661","Veřejná výzkumná instituce","ROSFORMA",149,"661","Veřejná výzkumná instituce"
"CS","Hierarchie číselníků","FORMA",56,"704","Zvláštní organizace pro zastoupení českých zájmů v mezinárodních nevládních organizacích","ROSFORMA",149,"704","Zvláštní organizace pro zastoupení českých zájmů v mezinárodních nevládních organizacích"
"CS","Hierarchie číselníků","FORMA",56,"705","Podnik nebo hospodářské zařízení sdružení","ROSFORMA",149,"705","Podnik nebo hospodářské zařízení sdružení"
"CS","Hierarchie číselníků","FORMA",56,"706","Spolek","ROSFORMA",149,"706","Spolek"
"CS","Hierarchie číselníků","FORMA",56,"707","Odborová organizace","ROSFORMA",149,"707","Odborová organizace"
"CS","Hierarchie číselníků","FORMA",56,"708","Organizace zaměstnavatelů","ROSFORMA",149,"708","Organizace zaměstnavatelů"
"CS","Hierarchie číselníků","FORMA",56,"711","Politická strana, politické hnutí","ROSFORMA",149,"711","Politická strana, politické hnutí"
"CS","Hierarchie číselníků","FORMA",56,"715","Podnik nebo hospodářské zařízení politické strany","ROSFORMA",149,"715","Podnik nebo hospodářské zařízení politické strany"
"CS","Hierarchie číselníků","FORMA",56,"721","Církve a náboženské společnosti","ROSFORMA",149,"721","Církve a náboženské společnosti"
"CS","Hierarchie číselníků","FORMA",56,"722","Evidované církevní právnické osoby","ROSFORMA",149,"722","Evidované církevní právnické osoby"
